VCD info: dumpfile uart_wave.vcd opened for output.
============================================
  UART Loopback Testbench  (115200 baud)
============================================

--- Test Group 1: Key bytes ---
[PASS] Test 1: sent=0xa5  received=0xa5
[PASS] Test 2: sent=0x00  received=0x00
[PASS] Test 3: sent=0xff  received=0xff
[PASS] Test 4: sent=0x55  received=0x55
[PASS] Test 5: sent=0xaa  received=0xaa

--- Test Group 2: Full 0x00-0xFF sweep ---
[PASS] Test 100: sent=0x00  received=0x00
[PASS] Test 101: sent=0x01  received=0x01
[PASS] Test 102: sent=0x02  received=0x02
[PASS] Test 103: sent=0x03  received=0x03
[PASS] Test 104: sent=0x04  received=0x04
[PASS] Test 105: sent=0x05  received=0x05
[PASS] Test 106: sent=0x06  received=0x06
[PASS] Test 107: sent=0x07  received=0x07
[PASS] Test 108: sent=0x08  received=0x08
[PASS] Test 109: sent=0x09  received=0x09
[PASS] Test 110: sent=0x0a  received=0x0a
[PASS] Test 111: sent=0x0b  received=0x0b
[PASS] Test 112: sent=0x0c  received=0x0c
[PASS] Test 113: sent=0x0d  received=0x0d
[PASS] Test 114: sent=0x0e  received=0x0e
[PASS] Test 115: sent=0x0f  received=0x0f
[PASS] Test 116: sent=0x10  received=0x10
[PASS] Test 117: sent=0x11  received=0x11
[PASS] Test 118: sent=0x12  received=0x12
[PASS] Test 119: sent=0x13  received=0x13
[PASS] Test 120: sent=0x14  received=0x14
[PASS] Test 121: sent=0x15  received=0x15
[PASS] Test 122: sent=0x16  received=0x16
[PASS] Test 123: sent=0x17  received=0x17
[PASS] Test 124: sent=0x18  received=0x18
[PASS] Test 125: sent=0x19  received=0x19
[PASS] Test 126: sent=0x1a  received=0x1a
[PASS] Test 127: sent=0x1b  received=0x1b
[PASS] Test 128: sent=0x1c  received=0x1c
[PASS] Test 129: sent=0x1d  received=0x1d
[PASS] Test 130: sent=0x1e  received=0x1e
[PASS] Test 131: sent=0x1f  received=0x1f
[PASS] Test 132: sent=0x20  received=0x20
[PASS] Test 133: sent=0x21  received=0x21
[PASS] Test 134: sent=0x22  received=0x22
[PASS] Test 135: sent=0x23  received=0x23
[PASS] Test 136: sent=0x24  received=0x24
[PASS] Test 137: sent=0x25  received=0x25
[PASS] Test 138: sent=0x26  received=0x26
[PASS] Test 139: sent=0x27  received=0x27
[PASS] Test 140: sent=0x28  received=0x28
[PASS] Test 141: sent=0x29  received=0x29
[PASS] Test 142: sent=0x2a  received=0x2a
[PASS] Test 143: sent=0x2b  received=0x2b
[PASS] Test 144: sent=0x2c  received=0x2c
[PASS] Test 145: sent=0x2d  received=0x2d
[PASS] Test 146: sent=0x2e  received=0x2e
[PASS] Test 147: sent=0x2f  received=0x2f
[PASS] Test 148: sent=0x30  received=0x30
[PASS] Test 149: sent=0x31  received=0x31
[PASS] Test 150: sent=0x32  received=0x32
[PASS] Test 151: sent=0x33  received=0x33
[PASS] Test 152: sent=0x34  received=0x34
[PASS] Test 153: sent=0x35  received=0x35
[PASS] Test 154: sent=0x36  received=0x36
[PASS] Test 155: sent=0x37  received=0x37
[PASS] Test 156: sent=0x38  received=0x38
[PASS] Test 157: sent=0x39  received=0x39
